order	sequence	thai	phonetic	description	short-description	set	level
33	16	คิดอะไรของคุณ	kít à-rai kɔ̌ɔng kun	INFORMAL  What were you thinking?! (Are you crazy / Why did you do that?)  	INFORMAL  What were you thinki		Intermediate level
34	17	มีปัญหาอะไร	mii bpan-hǎa à-rai	What's the problem? / What's the matter?  	What's the problem? / What's t		Intermediate level
35	18	อยากรู้ใช่ไหม	yàak rúu châi mǎi	You wanna know, don't you?  	You wanna know, don't you?  		Intermediate level
36	19	ใจคอไม่ดี	jai-kɔɔ mâi-dii	I have a bad feeling. (something bad will happen)  	I have a bad feeling. (somethi		Intermediate level
37	20	ไม่ต้องห่วงหรอกนะ	mâi-dtɔ̂ng hùang rɔ̂ɔk ná	Don't worry about it. / There's no need to worry about it at all. 	Don't worry about it. / There'		Intermediate level
38	1	หิวหรือยัง	hǐu rʉ̌ʉ yang	Are you hungry (yet)?  	Are you hungry (yet)?  	Super Useful Short Expressions, Part 3  	low-intermediate level
39	2	ไม่ได้กินอะไร(มา)ตั้งแต่เช้า	mâi dâi gin à-rai (maa	dtâng-dtɛ̀ɛ cháao)  I haven't eaten anything since this morning.  	dtâng-dtɛ̀ɛ cháao)  I haven't 		
40	3	นี่อะไร(ครับ/คะ)	nîi à-rai; nîi à-rai kráp; nîi à-rai kà	What's this?  	What's this?  		
41	4	ฝีมือผมเอง/ทำเอง	fǐi-mʉʉ pǒm eeng / tam-eeng	I made it myself.  	I made it myself.  		
42	5	ระวังนะ มันร้อน	rá-wang ná man rɔ́ɔn	Be carefulit's hot. 	Be carefulit's hot. 		
43	6	เก่งนี่	gèng nîi	Wow, you're very good at that! / Great job! / Wow, you're very good at that! /  Brilliant!  	Wow, you're very good at that!		
44	7	เรื่องมาก(จัง)	rʉ̂ang mâak; rʉ̂ang mâak jang	You're so fussy/high-maintenance/demanding! 	You're so fussy/high-maintenan		
45	8	ใช่แล้ว	châi lɛ́ɛo	That's right!  	That's right!  		
46	9	รู้ได้ยังไง	rúu dâi yang-ngai	How do you know?  	How do you know?  		
47	10	ตกลงครับ	dtòk-long kráp	Okay, (I agree). / Agreed. / Alright.  	Okay, (I agree). / Agreed. / A		
48	11	รู้ไหม	rúu-mǎi	Do/Did you know...?  	Do/Did you know...?  		
49	12	(ผม)ลืมไป	pǒm lʉʉm bpai; lʉʉm bpai	I forgot.  	I forgot.  		
50	13	เดี๋ยวนะคะ	dǐao ná-ká	Wait. / Wait a second. / Hold on.  	Wait. / Wait a second. / Hold 		
51	14	เจอแล้ว	jəə lɛ́ɛo	I found it/him/her.  	I found it/him/her.  		
52	15	ยังไม่ง่วง	yang mâi ngûang	I'm not sleepy yet. 	I'm not sleepy yet. 		
53	16	มาแล้ว	maa lɛ́ɛo	It's here. / She's here. / Here he comes (He's here.)  	It's here. / She's here. / Her		
54	17	อีกแล้วเหรอ	iìk lɛ́ɛo rə̌ə	Again?! / Not again! / Him again?! / Another... ?! 	Again?! / Not again! / Him aga		
55	18	แล้วคุณล่ะ	lɛ́ɛo kun lâ	What about you? / And you?  	What about you? / And you?  		
56	19	หึงหรือ	hʉ̌ng rʉ̌ʉ	Are you jealous?  	Are you jealous?  		
57	20	เกือบไปแล้ว	gʉ̀ap bpai lɛ́ɛo	That was close! / Close one! / Close call!  	That was close! / Close one! /		
58	1	ทำง่าย	tam ngâai	Easy to make!  	Easy to make!  	Super Useful Short Expressions, Part 4  	low-intermediate level
59	2	อร่อยจังเลย	à-rɔ̀i jang ləəi	It's delicious! / This is great!  	It's delicious! / This is grea		
60	3	ไม่มีอะไรเหลือ	mâi mii àrai lʉ̌a	There's nothing left. / It's all gone.  	There's nothing left. / It's a		
61	4	ต้องอย่างนั้น(สิ)	dtɔ̂ng yàang nán; dtɔ̂ng yàang nán sì	Now you're talking! / That's it! / That's what I'm talking about!  	Now you're talking! / That's i		
62	5	ไม่มีทาง	mâi mii taang	No way!  	No way!  		
63	6	ดูแลตัวเองดีๆนะ	duu-lɛɛ dtua-eeng dii-dii ná [kráp/ká]	Take good care of yourself. / Please take care.  	Take good care of yourself. / 		
64	7	ไม่ชอบขี้หน้าเขา SLANG	mâi chɔ̂ɔp kîi-nâa kǎo	I can't stand him! / I hate the sight of him!	I can't stand him! / I hate th		
65	8	สวยไม่ใช่เล่น SLANG	sǔai mâi châi lên	She's really beautiful! / She's pretty darn good lookin'!  	She's really beautiful! / She'		
66	9	คุณต้องการอะไร	kun dtɔ̂ng-gaan à-rai	What do you want? / What do you need?  	What do you want? / What do yo		
67	10	ตัดใจไม่ได้	dtàt-jai mâi-dâi	I can't get over her. / I can't forget her. / I can't let her go. / I can't stop thinking  about her. 	I can't get over her. / I can'		
68	11	ทำไมไม่บอก(ผม)	tam-mai mâi bɔ̀ɔk; tam-mai mâi bɔ̀ɔk pǒm	Why didn't you tell me?  	Why didn't you tell me?  		
69	12	เป็นครั้งแรกในชีวิต	bpen kráng-rɛ̂ɛk nai chii-wít	It's the first time in my life. / This is the first time (I've done this) in my life.  	It's the first time in my life		
70	13	จะเข้าห้องน้ INFORMAL	jà kâo hɔ̂ng-nám	I'm gonna go to the bathroom/restroom.  	I'm gonna go to the bathroom/r		
71	14	เอาไงดี INFORMAL	ao ngai dii	Now what? / What should we do now?  Note: ไง (ngai) is short for อย่างไร (yàang-rai) 	Now what? / What should we do 		
72	15	คอยดูนะ	kɔɔi duu ná	Wait and see! / You'll see! / You watch...  	Wait and see! / You'll see! / 		
73	16	ตื่นแล้วเหรอ	dtʉ̀ʉn lɛ́ɛo rə̌ə	Oh, you're awake? / You're up? / Are you awake? 	Oh, you're awake? / You're up?		
74	17	ให้ตายเถอะ INFORMAL	hâi dtaai tə̀	For God's sake! / Damn it! / Bloody hell! / Shit!  	For God's sake! / Damn it! / B		
75	18	อย่าเพิ่ง/อย่าเพิ่ง...	yàa pə̂ng / yàa pə̂ng...	Don't! / Don't.... (do something yet)  	Don't! / Don't.... (do somethi		
76	19	อย่ามาขวาง INFORMAL/INSULTING	yàa maa kwǎang	Get out of my way! / Don't block my way!  	Get out of my way! / Don't blo		
77	20	ใช้เวลาให้เป็นประโยชน์	chái wee-laa hâi bpen bprà-yòot	Make good use of your time. / Spend your time wisely.  	Make good use of your time. / 		
78	1	ถูกใจไหม	tùuk-jai mǎi	Do you like it? / Is it to your liking?  	Do you like it? / Is it to you	Super Useful Short Expressions, Part 5  	high-beginner level
79	2	สุดยอดเลย	sùt-yɔ̂ɔt ləəi	It's awesome/super/cool!  	It's awesome/super/cool!  		
80	3	เก่งมาก	gèng mâak	Very good! / Nice job! / You're good at this!  	Very good! / Nice job! / You'r		
81	4	ยินดีด้วย	yin-dii dûai	Congrats! / Congratulations!  	Congrats! / Congratulations!  		
82	5	ชนแก้ว	chon gɛ̂ɛo	Cheers! 	Cheers! 		
83	6	ทำใจดีๆ	tam-jai dii-dii	Hang in there! / Keep up your courage. / Hold on! / Cheer up!  	Hang in there! / Keep up your 		
84	7	พักผ่อนเถอะ	pák-pɔ̀n tə̀	Get some rest.  	Get some rest.  		
85	8	ก็ใช่น่ะสิ INFORMAL	gɔ̂ɔ châi nâ sí	That's right! / Yeah, I am! / Exactly! / Of course!  	That's right! / Yeah, I am! / 		
86	9	ดีแล้ว	dii lɛ́ɛo	Good. / That's good. / Good for you.  	Good. / That's good. / Good fo		
87	10	เชิญครับ	chəən kráp	Go ahead. / After you. / Please... / Come on in.  	Go ahead. / After you. / Pleas		
88	11	แป๊บนึง	bpɛ́ɛp-nʉng	Just a moment. / Just a second.  	Just a moment. / Just a second		
89	12	ขอโทษค่ะ	kɔ̌ɔ-tôot kà	I'm sorry. / Excuse me. / Pardon me.  	I'm sorry. / Excuse me. / Pard		
90	13	สนุกจะตาย	sà-nùk jà-dtaai	This is soooo much fun! / It's a blast!  	This is soooo much fun! / It's		
91	14	ไง INFORMAL	ngai	Hey. (Hi) / What's up?  	Hey. (Hi) / What's up?  		
92	15	มาดูเร็ว	maa duu reo	Come and have a look!  	Come and have a look!  		
93	16	พูดเล่นนะ	pûut-lên ná	I'm joking! 	I'm joking! 		
94	17	ดูนั่นสิ	duu nân sí	Look at that! / Look! 	Look at that! / Look! 		
95	18	หอมจังเลย	hɔ̌ɔm jang ləəi	It smells so good! 	It smells so good! 		
96	19	จริงด้วย	jing dûai	That's right! / That's true!  	That's right! / That's true!  		
97	20	ใครๆก็ชอบ...	krai-krai gɔ̂ɔ chɔ̂ɔp	Everyone likes/loves...  	Everyone likes/loves...  		
98	1	พอได้แล้ว	pɔɔ dâi lɛ́ɛo	That's enough! (stop it!) / Enough! / Break it up! / Knock it off!  	That's enough! (stop it!) / En	Super Useful Short Expressions, Part 6  	low-intermediate level
99	2	เลิกคิดได้แล้ว	lə̂ək kít dâi lɛ́ɛo	Quit thinking about it! / Get it out of your head!  	Quit thinking about it! / Get 		
100	3	ไม่ต้องโกหก	mâi dtɔ̂ng goo-hòk	You don't have to lie. / Don't lie (to me).  	You don't have to lie. / Don't		
101	4	อย่าทำอะไรผม(เลย)	yàa tam à-rai pǒm (ləəi	Don't hurt me. / Don't do anything to me.  	Don't hurt me. / Don't do anyt		
102	5	ระวังไว้ให้ดี(เถอะ)	rá-wang wái hâi dii tə̀	Watch your back. / Be very careful. / Look out.  	Watch your back. / Be very car		
103	6	ถอยไป	tɔ̌ɔi bpai	Get back! / Get away! / Back off! / Stay away from me!  	Get back! / Get away! / Back o		
104	7	อยู่เฉยๆ	yùu chə̌əi-chə̌əi	Stay still. / Don't move. / Stay right there. / Sit tight.  	Stay still. / Don't move. / St		
105	8	เบาๆหน่อย	bao-bao nɔ̀i	Softly! / Not so rough. / Easy! / Not so loud! 	Softly! / Not so rough. / Easy		
106	9	อย่าดิ้น	yaa dîn	Don't move! / Don't try to escape! / Don't squirm!  	Don't move! / Don't try to esc		
107	10	ปล่อยฉันเดี๋ยวนี้	bplɔ̀i chǎn dǐao-níi	Let go of me (right now)!  	Let go of me (right now)!  		
108	11	พูดมาซิ	pûut maa sí	Tell me! / Say it!  	Tell me! / Say it!  		
109	12	ไหนบอก(ว่า)...	nǎi bɔ̀ɔk (wâa	...) Hey, I thought you said...  	...) Hey, I thought you said..		
110	13	ฉิบหาย	chìp-hǎai	Damn! / Shit!  	Damn! / Shit!  		
111	14	เวรกรรม	ween-gam	Damn! / Damn it! / Oh, crap! / What bad luck! (This also means karma or What  goes around, comes around.)  	Damn! / Damn it! / Oh, crap! /		
112	15	ทำไมมาช้าจัง	tam-mai maa cháa jang	Why are you so late?  	Why are you so late?  		
113	16	ไม่น่าล่ะ / มิน่าล่ะ	mâi-nâa-lâ / mi-nâa-lâ	No wonder... ! / No wonder! / It's no wonder... ! / That's why... !  	No wonder... ! / No wonder! / 		
114	17	ไม่ใช่เด็กๆแล้วนะ	mâi-châi dèk-dèk lɛ́ɛo ná	You're not a kid/child (anymore)!  	You're not a kid/child (anymor		
115	18	ไม่ดีเหรอ	mâi-dii rə̌ə	Is that (so) bad? / What's wrong with that?  	Is that (so) bad? / What's wro		
116	19	ไม่คุ้มค่า	mâi kúm-kâa	It's not worth it.  	It's not worth it.  		
117	20	ปล่อยให้(มัน)เป็นไป	bplɔ̀i hâi (man	bpen-bpai) Let it go. / Let it be. / So be it. 	bpen-bpai) Let it go. / Let it		
118	1	หิวน้	hǐu-náam	I'm thirsty.  	I'm thirsty.  	Super Useful Short Expressions, Part 7  	high-beginner level
119	2	หิวข้าว	hǐu-kâao	I'm hungry.  	I'm hungry.  		
120	3	เหนื่อยจัง	nʉ̀ai jang	I'm so tired.  	I'm so tired.  		
121	4	ง่วงแล้ว	ngûang lɛ́ɛo	I'm sleepy.  	I'm sleepy.  		
122	5	ผมเมามาก	pom mao mâak	I'm really drunk.  	I'm really drunk.  		
123	6	น่าอิจฉาจัง	nâa-ìt-chǎa jang	I'm so jealous/envious!  	I'm so jealous/envious!  		
124	7	เปลี่ยนใจแล้ว	bplìan-jai lɛ́ɛo	I changed my mind. / I've changed my mind.  	I changed my mind. / I've chan		
125	8	คิดถึงจังเลย	kít-tʉ̌ng jang ləəi	I really miss you. / I really miss her.  	I really miss you. / I really 		
126	9	เที่ยวให้สนุก	tîao-hâi sà-nùk	Have a good trip. / Enjoy your trip.  	Have a good trip. / Enjoy your		
127	10	รอด้วย	rɔɔ dûai	Wait. / Wait for me. / Wait up. 	Wait. / Wait for me. / Wait up		
128	11	สุขสันต์วันเกิด(นะคะ) sùk-sǎn wan-gə̀ət	ná ká	Happy Birthday! 	Happy Birthday! 		
129	12	เชิญนั่ง(ก่อน)(ครับ) chəən nâng	gɔ̀ɔn	(kráp) Have a seat.  	(kráp) Have a seat.  		
130	13	(มัน)อันตรายมาก	man an-dtà-raai mâak	(It)'s very dangerous.  	(It)'s very dangerous.  		
131	14	อย่าทิ้งฉัน	yàa tíng chǎn	Don't leave me! / Don't throw me away!  	Don't leave me! / Don't throw 		
132	15	เรียบร้อยแล้ว	rîap-rɔ́ɔi lɛ́ɛo	It's all done. / I'm finished.  	It's all done. / I'm finished.		
133	16	มันซับซ้อน	man sáp-sɔ́ɔn	It's complicated. 	It's complicated. 		
134	17	ไม่มีอะไรเกิดขึ้น	mâi mii à-rai gə̀ət-kʉ̂n	Nothing happened.  	Nothing happened.  		
135	18	(ก็)คิดอยู่	gɔ̂ɔ	kít-yùu I'm thinking about it. 	kít-yùu I'm thinking about it.		
136	19	(ฉัน)ดูไม่ออก	chǎn	duu mâi-ɔ̀ɔk I can't tell. / I can't make out who it is. / I can't make it out.  	duu mâi-ɔ̀ɔk I can't tell. / I		
137	20	ไม่เคยเจอกัน	mâi kəəi jəə-gan	We've never met (before). / I've never met her (before).  	We've never met (before). / I'		
138	1	เป็นอะไร	bpen à-rai	Are you okay? / What's wrong? / What's going on?  	Are you okay? / What's wrong? 	Super Useful Short Expressions, Part 8  	low-intermediate level
139	2	มีใครไปบ้าง	mii krai bpai bâang	Who's going?  	Who's going?  		
140	3	บอกว่าอะไร(คะ/ครับ) bɔ̀ɔk wâa à-rai	ká/kráp	What did he say?  	What did he say?  		
141	4	พูดถึงอะไร	pûut-tʉ̌ng à-rai	What are you talking about?  	What are you talking about?  		
142	5	คิดอะไรอยู่	kít à-rai yùu	What are you thinking? / What are you thinking about?  	What are you thinking? / What 		
143	6	ไปเอามาจากไหน	bpai ao maa jàak nǎi	Where did you get it/that?  	Where did you get it/that?  		
144	7	ทำอะไรอยู่ / ทำอะไรอ่ะ INFORMAL	tam à-rai yùu / tam à-rai à	What are you doing?  	What are you doing?  		
145	8	ช่วยหน่อย INFORMAL	chûai nɔ̀i	Help me. / Can you help me?  	Help me. / Can you help me?  		
146	9	ว่ายังไงบ้างครับ	wâa yang-ngai bâang kráp	What did she say? 	What did she say? 		
147	10	กลัวอะไร	glua à-rai	What are you afraid of?  	What are you afraid of?  		
148	11	จำไม่ได้หรือ	jam mâi-dâi rə̌ə	You don't remember? / Don't you remember? 	You don't remember? / Don't yo		
149	12	นานแค่ไหนแล้วที่...	naan kɛ̂ɛ-nǎi lɛ́ɛo tîi...	How long (has it been since)... ?	How long (has it been since)..		
150	13	ใครจะไปรู้	krai jà bpai rúu	Who knows? / It's anyone's guess. / You never know.  	Who knows? / It's anyone's gue		
151	14	จะซื้ออะไรให้ดี	jà sʉ́ʉ à-rai hâi dii	What should I get (him)? (for example: for his birthday)  	What should I get (him)? (for 		
152	15	(...) จะว่ายังไง	...	jà wâa yang-ngai What would (...) say/think? What do (you) say? / What do (you) have to say to that? / What do (you) think? 	jà wâa yang-ngai What would (.		
153	16	เอาอย่างนี้/งี้	ao yàang níi/ngíi	How about this...? / I tell you what... / Okay, then... (giving suggestion)  	How about this...? / I tell yo		
154	17	เคยไปหรือ	kəəi bpai rə̌ə	Oh, have you been (there) before? / Oh, you've been there before?  	Oh, have you been (there) befo		
155	18	ดีขึ้นไหม	dii-kʉ̂n mǎi	Are you better now? / Is it better now?  	Are you better now? / Is it be		
156	19	มันผิดตรงไหน	man pìt dtrong-nǎi	What's wrong with that/it?  	What's wrong with that/it?  		
157	20	เขาทำอะไรคุณ	kao tam à-rai kun	What did (she) do to you?  	What did (she) do to you?  		
158	1	น่าเสียดาย	nâa-sǐa-daai	That's too bad. / What a pity. / What a shame.  	That's too bad. / What a pity.	Super Useful Short Expressions, Part 9  	mid-intermediate level
159	2	ฉันเป็นห่วงเธอ	chǎn bpen hùang təə	I'm worried about you. 	I'm worried about you. 		
160	3	บังเอิญจริงๆ	bang-əən jing-jing	What a coincidence!  	What a coincidence!  		
161	4	ถ้าไม่รังเกียจ...	tâa mâi rang-gìat...	If you don't mind... / If it's okay with you...  	If you don't mind... / If it's		
162	5	มาช้าดีกว่าไม่มา*	maa cháa dii gwàa mâi maa	Better late than never.  	Better late than never.  		
163	6	เอาเป็นว่า...	ao bpen wâa...	(Used when concluding something): Well/Okay/Then... / ...then. / Okay, let's do  it this way... / It turns out/In the end... / Let's just say...  	(Used when concluding somethin		
164	7	สุขสันต์วันเกิดย้อนหลัง	sùk-sǎn wan-gə̀ət yɔ́ɔn-lǎng	Happy Belated Birthday!  Note: -ย้อนหลัง (yɔ́ɔn-lǎng) means in retrospect.  	Happy Belated Birthday!  Note:		
165	8	ยังหาไม่ได้เลย	yang hǎa mâi dâi ləəi	I still can't find one. / I still can't find it.  	I still can't find one. / I st		
166	9	ตอนแรกไม่เชื่อ	dtɔɔn-rɛ̂ɛk mâi-chʉ̂a	At first, I didn't believe it.  	At first, I didn't believe it.		
167	10	นึกแล้วเชียว	nʉ́k lɛ́ɛo chiao	I knew it! / I thought so! / Just as I thought!  Note: -เชียว (chiao) is an intensifier used for emphasis here. 	I knew it! / I thought so! / J		
168	11	ผมก็ไม่ว่า(อะไร) pǒm gɔ̂ɔ mâi-wâa	à-rai	It's fine with me. / Feel free. / I don't mind. (If you do it...)  	It's fine with me. / Feel free		
169	12	ไปกันเถอะ	bpai gan təə	Let's go. 	Let's go. 		
170	13	บอกตามตรง...	bɔ̀ɔk dtaam-dtrong	To be honest... / I'll be honest with you... / Honestly...  	To be honest... / I'll be hone		
171	14	ผมไม่ใช่คนโง่	pǒm mâi-châi kon-ngôo	I'm not stupid! / I'm not a fool!  	I'm not stupid! / I'm not a fo		
172	15	ต้องจองล่วงหน้า	dtɔ̂ng jɔɔng lǔang-nâa	You have to make advance reservations. / You need to reserve/book (it) in  advance.  	You have to make advance reser		
173	16	ก็ดีเหมือนกัน	gɔ̂ɔ dii mʉ̌an-gan	Fine. / Okay. / (That) sounds good. (I like that idea.)  	Fine. / Okay. / (That) sounds 		
174	17	ไม่ว่ายังไง...	b	No matter what... / No matter what happens...  	No matter what... / No matter 		
175	18	คงไม่หรอก	kong mâi rɔ̀ɔk	It's not likely. / I don't think so. / Probably not.  	It's not likely. / I don't thi		
176	19	(พี่)คิดมาก	pîi	kít-mâak Don't think about it so muchrelax. / You're overthinking things/it.  	kít-mâak Don't think about it 		
177	20	เขาไม่รู้ด้วยซ้ำว่า...	kǎo mâi rúu dûai-sám wâa...	He doesn't even know (that)...  	He doesn't even know (that)...		
178	1	ความจริงก็คือ...	kwaam-jing gɔ̂ɔ kʉʉ...	The truth is...  	The truth is...  	Super Useful Short Expressions, Part 10  	mid-intermediate level
179	2	ฉันรู้แล้ว(ค่ะ) chǎn rúu lɛ́ɛo	kà	I know (already). 	I know (already). 		
180	3	(มัน)สุดๆไปเลย	man	sùt-sùt bpai ləəi This is totally awesome! / Splendid! 	sùt-sùt bpai ləəi This is tota		
181	4	ฉันเกือบตาย	chǎn gʉ̀ap dtaai	I almost died.  	I almost died.  		
182	5	ไม่ได้สังเกตว่า...	mâi-dâi sǎng-gèet wâa...	I didn't notice...  	I didn't notice...  		
183	6	ยังไม่ได้บอกเลยว่า...	yang mâi-dâi bɔ̀ɔk ləəi wâa...	You haven't told me yet... / You still haven't told me... / I haven't told you yet... / I still haven't told you...  	You haven't told me yet... / Y		
184	7	ไม่ค่อยไว้ใจ(เขา) mâi kɔ̂i wái-jai	kǎo	I don't (really) trust (him). / I don't trust (him) so much.  	I don't (really) trust (him). 		
185	8	ไม่มีอะไรน่าสนใจหรอก	mâi mii à-rai nâa-sǒn-jai rɔ̀ɔk	It's nothing special. / There's nothing of interest (there). / There's nothing to see.  	It's nothing special. / There'		
186	9	ไม่เอา(น่า/นะ) mâi ao	nâa/ná	Don't. / I don't want it. / Come on!  	Don't. / I don't want it. / Co		
187	10	เดี๋ยวใครเห็นเข้า	dǐao krai hěn kâo	Careful/watch outsomeone will see us!  	Careful/watch outsomeone will 		
188	11	ผมถึงได้บอก(ไง)ว่า...	chǎn tʉ̌ng dâi bɔ̀ɔk (ngai	wâa...) That's why I said/told you...  	wâa...) That's why I said/told		
189	12	ไม่รู้จะทำยังไงแล้ว	mâi rúu jà tam yang-ngai lɛ́ɛo	I don't know what (else) to do! / I don't even know what to do.  	I don't know what (else) to do		
190	13	เขาเคยเล่าว่า...	kǎo kəəi lâo wâa	He once told me... / He told me before that...  	He once told me... / He told m		
191	14	ถ้าจำไม่ผิด...	tâa jam mâi pìt...	If I'm not mistaken... / If I recall correctly... / If my memory serves me well... 	If I'm not mistaken... / If I 		
192	15	(ไป)นอนก่อน(นะ)	bpai	nɔɔn gɔ̀ɔn (ná) I'm going to bed.  	nɔɔn gɔ̀ɔn (ná) I'm going to b		
193	16	เตือนแล้วนะ(ครับ)ว่า... dtʉan lɛ́ɛo ná	kráp	wâa... I warned you (that)...  	wâa... I warned you (that)... 		
194	17	ปกติฉันตื่น(เจ็ด)โมงเช้า bpòk-gà-dtì chǎn dtʉ̀ʉn	jèt	moong cháao I usually get up at (7:00).  	moong cháao I usually get up a		
195	18	กินไม่ลง/ทานไม่ลง	gin mâi long/ taan mâi long	I (just) can't eat this.  	I (just) can't eat this.  		
196	19	อ่านไม่รู้เรื่อง	àan mâi-rúu-rʉ̂ang	I can't understand this at all. / I can't read it. 	I can't understand this at all		
197	20	ฉันไม่รู้เรื่อง	chǎn mâi-rúu-rʉ̂ang	I don't know anything about it! 	I don't know anything about it		
